Country,Year,WheatProduced(MT)
China,2020,134.3
India,2020,107.6
Russia,2020,85.9
United States,2020,49.7
Canada,2020,35.2
France,2020,30.1
Pakistan,2020,25.2
Ukraine,2020,24.9
Germany,2020,22.2
Turkey,2020,20.5
Argentina,2020,19.8
Iran,2020,15.0
Australia,2020,14.5
Kazakhstan,2020,14.3
Poland,2020,12.4
United Kingdom,2020,9.7
Egypt,2020,9.0
Spain,2020,8.1
Romania,2020,6.8
Italy,2020,6.7
Brazil,2020,6.3
Iraq,2020,6.2
Uzbekistan,2020,6.2
Ethiopia,2020,5.5
Afghanistan,2020,5.2
Hungary,2020,5.1
Czechia,2020,4.9
Bulgaria,2020,4.9
Lithuania,2020,4.8
Denmark,2020,4.1
Sweden,2020,3.2
Algeria,2020,3.1
Mexico,2020,3.0
Serbia,2020,2.9
Syria,2020,2.8
Belarus,2020,2.8
Latvia,2020,2.7
Morocco,2020,2.6
Nepal,2020,2.2
Slovakia,2020,2.1
South Africa,2020,2.1
World total,2020,760.9
China,2019,133.6
India,2019,103.6
Russia,2019,74.5
United States,2019,52.3
Canada,2019,32.3
France,2019,40.6
Pakistan,2019,24.4
Ukraine,2019,28.4
Germany,2019,23.1
Turkey,2019,19.0
Argentina,2019,19.5
Iran,2019,16.8
Australia,2019,17.6
Kazakhstan,2019,11.3
Poland,2019,10.8
United Kingdom,2019,16.2
Egypt,2019,9.0
Spain,2019,6.0
Romania,2019,10.3
Italy,2019,6.7
Brazil,2019,5.6
Iraq,2019,4.3
Uzbekistan,2019,6.1
Ethiopia,2019,5.3
Afghanistan,2019,4.9
Hungary,2019,5.4
Czechia,2019,4.8
Bulgaria,2019,6.3
Lithuania,2019,3.8
Denmark,2019,4.6
Sweden,2019,3.5
Algeria,2019,3.9
Mexico,2019,3.2
Serbia,2019,2.5
Syria,2019,3.1
Belarus,2019,2.3
Latvia,2019,2.4
Morocco,2019,4.0
Nepal,2019,2.0
Slovakia,2019,1.9
South Africa,2019,1.5
World total,2019,765.8
China,2018,131.4
India,2018,99.7
Russia,2018,72.1
United States,2018,51.3
Canada,2018,31.8
France,2018,35.8
Pakistan,2018,25.1
Ukraine,2018,24.7
Germany,2018,20.3
Turkey,2018,20.0
Argentina,2018,18.5
Iran,2018,14.5
Australia,2018,20.9
Kazakhstan,2018,13.9
Poland,2018,9.8
United Kingdom,2018,13.6
Egypt,2018,8.8
Spain,2018,8.0
Romania,2018,10.1
Italy,2018,6.9
Brazil,2018,5.4
Iraq,2018,3.2
Uzbekistan,2018,5.4
